n_estimators,max_depth,min_samples_split,min_samples_leaf,train_acc,val_acc,start_time,end_time,training_time
10,3,2,2,0.79,0.725,2025-01-05 11:17:15,2025-01-05 11:17:34,19.15638566017151
10,3,10,2,0.79,0.725,2025-01-05 11:17:15,2025-01-05 11:17:34,19.181127071380615
10,3,10,4,0.79,0.725,2025-01-05 11:17:15,2025-01-05 11:17:34,19.261040687561035
10,3,2,1,0.79,0.725,2025-01-05 11:17:15,2025-01-05 11:17:34,19.55827522277832
10,3,2,4,0.79,0.725,2025-01-05 11:17:15,2025-01-05 11:17:34,19.55588698387146
10,3,10,1,0.79,0.725,2025-01-05 11:17:15,2025-01-05 11:17:34,19.637754440307617
10,3,5,2,0.79,0.725,2025-01-05 11:17:15,2025-01-05 11:17:34,19.793769598007202
10,3,5,4,0.79,0.725,2025-01-05 11:17:15,2025-01-05 11:17:34,19.812786102294922
10,3,5,1,0.79,0.725,2025-01-05 11:17:15,2025-01-05 11:17:35,19.99258065223694
10,5,5,2,0.891875,0.82,2025-01-05 11:17:15,2025-01-05 11:17:46,30.748435974121094
10,5,5,1,0.893125,0.82,2025-01-05 11:17:15,2025-01-05 11:17:46,31.14042377471924
10,5,10,1,0.8925,0.82,2025-01-05 11:17:15,2025-01-05 11:17:46,31.19707179069519
10,5,5,4,0.89125,0.82,2025-01-05 11:17:15,2025-01-05 11:17:46,31.13854670524597
10,5,2,1,0.893125,0.82,2025-01-05 11:17:15,2025-01-05 11:17:46,31.373446226119995
10,5,2,2,0.891875,0.82,2025-01-05 11:17:15,2025-01-05 11:17:46,31.52215075492859
10,5,2,4,0.89125,0.82,2025-01-05 11:17:15,2025-01-05 11:17:46,31.521151304244995
10,5,10,4,0.89125,0.82,2025-01-05 11:17:34,2025-01-05 11:18:05,30.968374013900757
10,5,10,2,0.89125,0.82,2025-01-05 11:17:34,2025-01-05 11:18:05,31.500001668930054
10,7,2,4,0.950625,0.8775,2025-01-05 11:17:34,2025-01-05 11:18:14,40.14482593536377
10,7,5,4,0.950625,0.8775,2025-01-05 11:17:35,2025-01-05 11:18:14,39.97554588317871
10,7,2,2,0.96,0.8725,2025-01-05 11:17:34,2025-01-05 11:18:15,40.54169797897339
10,7,2,1,0.9675,0.865,2025-01-05 11:17:34,2025-01-05 11:18:15,40.896048069000244
10,7,10,1,0.965,0.875,2025-01-05 11:17:35,2025-01-05 11:18:16,40.871917486190796
10,7,5,1,0.966875,0.865,2025-01-05 11:17:34,2025-01-05 11:18:16,41.50082731246948
10,7,5,2,0.96,0.8725,2025-01-05 11:17:35,2025-01-05 11:18:16,41.4559121131897
10,7,10,4,0.95,0.8775,2025-01-05 11:17:46,2025-01-05 11:18:25,39.52939701080322
10,7,10,2,0.959375,0.8775,2025-01-05 11:17:46,2025-01-05 11:18:26,40.4893000125885
10,,2,4,0.9575,0.8825,2025-01-05 11:17:46,2025-01-05 11:18:29,42.560608863830566
10,,5,2,0.973125,0.87,2025-01-05 11:17:46,2025-01-05 11:18:33,46.28694820404053
10,,2,2,0.973125,0.87,2025-01-05 11:17:46,2025-01-05 11:18:33,47.23574757575989
10,,2,1,0.996875,0.8675,2025-01-05 11:17:46,2025-01-05 11:18:36,49.548996686935425
10,,5,1,0.9925,0.875,2025-01-05 11:17:46,2025-01-05 11:18:36,49.27401566505432
10,,5,4,0.9575,0.8825,2025-01-05 11:18:05,2025-01-05 11:18:47,42.457401752471924
10,,10,1,0.98375,0.8725,2025-01-05 11:18:05,2025-01-05 11:18:54,48.47304630279541
20,3,2,1,0.779375,0.7425,2025-01-05 11:18:15,2025-01-05 11:18:54,39.53028154373169
20,3,2,2,0.779375,0.7425,2025-01-05 11:18:15,2025-01-05 11:18:55,40.05705142021179
20,3,5,2,0.779375,0.7425,2025-01-05 11:18:16,2025-01-05 11:18:55,39.229198932647705
20,3,2,4,0.779375,0.7425,2025-01-05 11:18:16,2025-01-05 11:18:56,39.95820903778076
20,3,5,1,0.779375,0.7425,2025-01-05 11:18:16,2025-01-05 11:18:56,39.67523717880249
10,,10,4,0.956875,0.8825,2025-01-05 11:18:15,2025-01-05 11:18:57,42.40440058708191
10,,10,2,0.968125,0.8725,2025-01-05 11:18:14,2025-01-05 11:19:02,47.445950508117676
20,3,5,4,0.779375,0.7425,2025-01-05 11:18:26,2025-01-05 11:19:06,40.39127731323242
20,3,10,1,0.779375,0.7425,2025-01-05 11:18:26,2025-01-05 11:19:06,40.25567698478699
20,3,10,2,0.779375,0.7425,2025-01-05 11:18:29,2025-01-05 11:19:09,40.422358989715576
20,3,10,4,0.779375,0.7425,2025-01-05 11:18:33,2025-01-05 11:19:13,39.88621139526367
20,5,2,1,0.903125,0.83,2025-01-05 11:18:33,2025-01-05 11:19:38,64.96581768989563
20,5,2,2,0.901875,0.8275,2025-01-05 11:18:36,2025-01-05 11:19:40,64.59615445137024
20,5,2,4,0.90125,0.83,2025-01-05 11:18:36,2025-01-05 11:19:41,65.27971839904785
20,5,5,1,0.903125,0.83,2025-01-05 11:18:47,2025-01-05 11:19:53,65.58488488197327
20,5,5,2,0.901875,0.8275,2025-01-05 11:18:54,2025-01-05 11:19:58,64.45521831512451
20,5,5,4,0.90125,0.83,2025-01-05 11:18:54,2025-01-05 11:19:59,64.17564702033997
20,5,10,1,0.903125,0.83,2025-01-05 11:18:55,2025-01-05 11:20:00,65.15875339508057
20,5,10,4,0.90125,0.83,2025-01-05 11:18:56,2025-01-05 11:20:00,64.78584790229797
20,5,10,2,0.9025,0.8275,2025-01-05 11:18:55,2025-01-05 11:20:01,65.41820120811462
20,7,2,1,0.97125,0.8825,2025-01-05 11:18:56,2025-01-05 11:20:20,84.54429984092712
20,7,2,2,0.965625,0.895,2025-01-05 11:18:57,2025-01-05 11:20:22,84.7733986377716
20,7,2,4,0.955625,0.8875,2025-01-05 11:19:02,2025-01-05 11:20:23,81.21260023117065
20,7,5,2,0.965625,0.895,2025-01-05 11:19:06,2025-01-05 11:20:30,83.38314700126648
20,7,5,1,0.970625,0.8825,2025-01-05 11:19:06,2025-01-05 11:20:30,84.42399072647095
20,7,5,4,0.955625,0.8875,2025-01-05 11:19:09,2025-01-05 11:20:30,81.19821429252625
20,7,10,1,0.970625,0.8725,2025-01-05 11:19:13,2025-01-05 11:20:37,84.16223526000977
20,7,10,4,0.955625,0.885,2025-01-05 11:19:40,2025-01-05 11:21:01,80.58956623077393
20,7,10,2,0.965625,0.885,2025-01-05 11:19:38,2025-01-05 11:21:02,83.53218817710876
20,,2,1,0.999375,0.875,2025-01-05 11:19:41,2025-01-05 11:21:21,100.29098796844482
20,,2,4,0.96625,0.885,2025-01-05 11:19:58,2025-01-05 11:21:23,85.07034134864807
30,3,2,1,0.778125,0.735,2025-01-05 11:20:23,2025-01-05 11:21:24,60.573469161987305
20,,5,4,0.96625,0.885,2025-01-05 11:20:00,2025-01-05 11:21:26,85.57938504219055
20,,2,2,0.981875,0.8825,2025-01-05 11:19:53,2025-01-05 11:21:27,94.40675091743469
30,3,2,2,0.778125,0.735,2025-01-05 11:20:30,2025-01-05 11:21:30,59.85965132713318
30,3,2,4,0.778125,0.735,2025-01-05 11:20:30,2025-01-05 11:21:30,59.60339546203613
30,3,5,1,0.778125,0.735,2025-01-05 11:20:30,2025-01-05 11:21:31,60.811880350112915
20,,5,2,0.981875,0.8825,2025-01-05 11:20:00,2025-01-05 11:21:35,94.79194045066833
30,3,5,2,0.778125,0.735,2025-01-05 11:20:37,2025-01-05 11:21:37,60.45048761367798
20,,5,1,0.9975,0.87,2025-01-05 11:19:59,2025-01-05 11:21:39,100.05584955215454
20,,10,1,0.99,0.865,2025-01-05 11:20:01,2025-01-05 11:21:39,98.41238784790039
20,,10,4,0.965625,0.88,2025-01-05 11:20:22,2025-01-05 11:21:47,85.32040739059448
20,,10,2,0.97875,0.875,2025-01-05 11:20:20,2025-01-05 11:21:57,96.37883925437927
30,3,5,4,0.778125,0.735,2025-01-05 11:21:01,2025-01-05 11:22:10,68.75130128860474
30,3,10,1,0.778125,0.735,2025-01-05 11:21:02,2025-01-05 11:22:11,68.75303649902344
30,3,10,2,0.778125,0.735,2025-01-05 11:21:21,2025-01-05 11:22:30,68.94540238380432
30,3,10,4,0.778125,0.735,2025-01-05 11:21:24,2025-01-05 11:22:33,69.12084984779358
30,5,2,1,0.908125,0.8225,2025-01-05 11:21:24,2025-01-05 11:23:10,105.78443717956543
30,5,2,2,0.906875,0.825,2025-01-05 11:21:26,2025-01-05 11:23:11,105.23350834846497
30,5,2,4,0.90625,0.83,2025-01-05 11:21:27,2025-01-05 11:23:13,105.2548770904541
30,5,5,1,0.908125,0.825,2025-01-05 11:21:30,2025-01-05 11:23:14,104.23384594917297
30,5,5,2,0.906875,0.825,2025-01-05 11:21:30,2025-01-05 11:23:14,104.13813161849976
30,5,5,4,0.90625,0.83,2025-01-05 11:21:31,2025-01-05 11:23:16,104.6763870716095
30,5,10,1,0.9075,0.825,2025-01-05 11:21:35,2025-01-05 11:23:20,104.69055652618408
30,5,10,2,0.906875,0.825,2025-01-05 11:21:37,2025-01-05 11:23:21,104.01063990592957
30,5,10,4,0.90625,0.83,2025-01-05 11:21:39,2025-01-05 11:23:24,104.8986144065857
30,7,2,1,0.9775,0.8775,2025-01-05 11:21:39,2025-01-05 11:23:55,135.76489734649658
30,7,2,2,0.971875,0.88,2025-01-05 11:21:47,2025-01-05 11:24:01,134.10451936721802
30,7,2,4,0.96,0.88,2025-01-05 11:21:57,2025-01-05 11:24:05,127.74134993553162
30,7,5,1,0.975625,0.8775,2025-01-05 11:22:10,2025-01-05 11:24:17,127.4452395439148
30,7,5,2,0.97125,0.88,2025-01-05 11:22:11,2025-01-05 11:24:18,127.01536273956299
30,7,5,4,0.96,0.88,2025-01-05 11:22:30,2025-01-05 11:24:33,122.26090574264526
30,7,10,1,0.973125,0.8725,2025-01-05 11:22:33,2025-01-05 11:24:40,127.54266285896301
30,7,10,4,0.959375,0.88,2025-01-05 11:23:11,2025-01-05 11:25:42,150.79006814956665
30,7,10,2,0.96875,0.8725,2025-01-05 11:23:10,2025-01-05 11:25:45,155.0175063610077
40,3,2,1,0.776875,0.7275,2025-01-05 11:24:05,2025-01-05 11:25:54,109.04005074501038
30,,2,4,0.9675,0.885,2025-01-05 11:23:14,2025-01-05 11:25:55,160.41593408584595
30,,5,4,0.9675,0.885,2025-01-05 11:23:21,2025-01-05 11:26:01,159.66989874839783
30,,2,2,0.99125,0.885,2025-01-05 11:23:14,2025-01-05 11:26:08,173.90596199035645
40,3,2,2,0.776875,0.7275,2025-01-05 11:24:17,2025-01-05 11:26:10,113.19745135307312
40,3,2,4,0.776875,0.7275,2025-01-05 11:24:18,2025-01-05 11:26:13,114.9302864074707
30,,2,1,1.0,0.8725,2025-01-05 11:23:13,2025-01-05 11:26:27,193.84016108512878
30,,5,2,0.990625,0.885,2025-01-05 11:23:20,2025-01-05 11:26:30,189.94778323173523
30,,5,1,0.999375,0.875,2025-01-05 11:23:16,2025-01-05 11:26:34,197.44366240501404
40,3,5,1,0.776875,0.7275,2025-01-05 11:24:33,2025-01-05 11:26:37,124.53881669044495
30,,10,1,0.99375,0.875,2025-01-05 11:23:24,2025-01-05 11:26:39,194.7251377105713
40,3,5,2,0.776875,0.7275,2025-01-05 11:24:40,2025-01-05 11:26:44,124.03480219841003
30,,10,4,0.968125,0.885,2025-01-05 11:24:01,2025-01-05 11:27:16,194.14540076255798
30,,10,2,0.985625,0.8825,2025-01-05 11:23:55,2025-01-05 11:27:22,207.09633231163025
40,3,5,4,0.776875,0.7275,2025-01-05 11:25:42,2025-01-05 11:27:52,129.31214690208435
40,3,10,1,0.776875,0.7275,2025-01-05 11:25:45,2025-01-05 11:27:54,128.98642420768738
40,3,10,2,0.776875,0.7275,2025-01-05 11:25:54,2025-01-05 11:28:02,127.924232006073
40,3,10,4,0.776875,0.7275,2025-01-05 11:25:55,2025-01-05 11:28:03,128.41035962104797
40,5,2,1,0.9125,0.825,2025-01-05 11:26:01,2025-01-05 11:28:59,178.01060795783997
40,5,2,2,0.9125,0.83,2025-01-05 11:26:08,2025-01-05 11:29:02,174.0791916847229
40,5,2,4,0.9125,0.83,2025-01-05 11:26:11,2025-01-05 11:29:03,172.55429196357727
40,5,5,1,0.9125,0.8275,2025-01-05 11:26:13,2025-01-05 11:29:05,171.74111127853394
40,5,5,2,0.9125,0.83,2025-01-05 11:26:27,2025-01-05 11:29:08,161.0966067314148
40,5,5,4,0.9125,0.83,2025-01-05 11:26:30,2025-01-05 11:29:09,159.48201966285706
40,5,10,1,0.911875,0.8275,2025-01-05 11:26:34,2025-01-05 11:29:14,160.44485306739807
40,5,10,4,0.9125,0.83,2025-01-05 11:26:39,2025-01-05 11:29:18,159.52586913108826
40,5,10,2,0.9125,0.83,2025-01-05 11:26:37,2025-01-05 11:29:19,161.953195810318
40,7,2,1,0.975,0.88,2025-01-05 11:26:45,2025-01-05 11:30:04,199.79528188705444
40,7,2,4,0.95875,0.88,2025-01-05 11:27:22,2025-01-05 11:30:13,171.08481454849243
40,7,2,2,0.96875,0.89,2025-01-05 11:27:16,2025-01-05 11:30:14,178.7370867729187
40,7,5,1,0.973125,0.8825,2025-01-05 11:27:52,2025-01-05 11:30:36,164.63438439369202
40,7,5,2,0.968125,0.89,2025-01-05 11:27:54,2025-01-05 11:30:37,163.18539023399353
40,7,5,4,0.95875,0.88,2025-01-05 11:28:02,2025-01-05 11:30:40,157.96554732322693
40,7,10,1,0.971875,0.88,2025-01-05 11:28:03,2025-01-05 11:30:49,165.22283291816711
40,7,10,4,0.95875,0.88,2025-01-05 11:29:03,2025-01-05 11:31:47,164.2283329963684
40,7,10,2,0.96625,0.89,2025-01-05 11:28:59,2025-01-05 11:31:50,170.37570977210999
50,3,2,1,0.77625,0.7275,2025-01-05 11:30:15,2025-01-05 11:32:02,107.70705270767212
40,,2,4,0.9675,0.8775,2025-01-05 11:29:08,2025-01-05 11:32:03,174.9701066017151
40,,5,4,0.9675,0.8775,2025-01-05 11:29:18,2025-01-05 11:32:12,173.55159878730774
40,,2,2,0.986875,0.89,2025-01-05 11:29:05,2025-01-05 11:32:15,190.43678760528564
50,3,2,2,0.77625,0.7275,2025-01-05 11:30:37,2025-01-05 11:32:24,107.08390378952026
50,3,2,4,0.77625,0.7275,2025-01-05 11:30:37,2025-01-05 11:32:24,107.04999446868896
40,,2,1,1.0,0.875,2025-01-05 11:29:03,2025-01-05 11:32:26,202.81600832939148
40,,5,2,0.986875,0.89,2025-01-05 11:29:14,2025-01-05 11:32:27,192.7789716720581
50,3,5,1,0.77625,0.7275,2025-01-05 11:30:40,2025-01-05 11:32:28,107.73096418380737
40,,5,1,0.999375,0.8775,2025-01-05 11:29:10,2025-01-05 11:32:32,202.4333553314209
50,3,5,2,0.77625,0.7275,2025-01-05 11:30:49,2025-01-05 11:32:36,106.80410170555115
40,,10,1,0.9925,0.8775,2025-01-05 11:29:19,2025-01-05 11:32:38,198.6349639892578
40,,10,4,0.965625,0.8775,2025-01-05 11:30:14,2025-01-05 11:34:17,243.2923662662506
40,,10,2,0.980625,0.89,2025-01-05 11:30:04,2025-01-05 11:34:43,278.1786186695099
50,3,5,4,0.77625,0.7275,2025-01-05 11:31:47,2025-01-05 11:34:51,184.0302164554596
50,3,10,1,0.77625,0.7275,2025-01-05 11:31:50,2025-01-05 11:34:54,184.6477324962616
50,3,10,2,0.77625,0.7275,2025-01-05 11:32:02,2025-01-05 11:35:07,184.72330045700073
50,3,10,4,0.77625,0.7275,2025-01-05 11:32:03,2025-01-05 11:35:07,184.0036461353302
50,5,2,1,0.91375,0.835,2025-01-05 11:32:12,2025-01-05 11:36:14,242.0448887348175
50,5,2,2,0.913125,0.8375,2025-01-05 11:32:16,2025-01-05 11:36:18,242.60586380958557
50,5,2,4,0.911875,0.8325,2025-01-05 11:32:24,2025-01-05 11:36:25,241.0055868625641
50,5,5,1,0.91375,0.8375,2025-01-05 11:32:24,2025-01-05 11:36:26,241.8823447227478
50,5,5,4,0.911875,0.8325,2025-01-05 11:32:27,2025-01-05 11:36:28,240.95183682441711
50,5,5,2,0.913125,0.8375,2025-01-05 11:32:26,2025-01-05 11:36:28,241.79641103744507
50,5,10,1,0.91375,0.8375,2025-01-05 11:32:28,2025-01-05 11:36:30,241.71075081825256
50,5,10,2,0.913125,0.8375,2025-01-05 11:32:32,2025-01-05 11:36:33,241.08096289634705
50,5,10,4,0.911875,0.8325,2025-01-05 11:32:36,2025-01-05 11:36:36,239.95334267616272
50,7,2,1,0.9775,0.8775,2025-01-05 11:32:38,2025-01-05 11:37:51,312.74807810783386
50,7,2,4,0.96,0.885,2025-01-05 11:34:43,2025-01-05 11:38:25,222.06999850273132
50,7,2,2,0.97125,0.8825,2025-01-05 11:34:17,2025-01-05 11:38:27,249.71625351905823
50,7,5,1,0.975,0.8725,2025-01-05 11:34:51,2025-01-05 11:38:42,230.55952644348145
50,7,5,2,0.970625,0.8825,2025-01-05 11:34:55,2025-01-05 11:38:42,227.52663493156433
50,7,5,4,0.96,0.885,2025-01-05 11:35:07,2025-01-05 11:38:49,221.79352259635925
50,7,10,1,0.973125,0.8725,2025-01-05 11:35:07,2025-01-05 11:38:57,229.21351385116577
50,7,10,4,0.96,0.885,2025-01-05 11:36:18,2025-01-05 11:39:43,204.21297931671143
50,7,10,2,0.969375,0.8825,2025-01-05 11:36:14,2025-01-05 11:39:47,212.87232899665833
50,,2,4,0.9675,0.88,2025-01-05 11:36:28,2025-01-05 11:40:00,211.39429783821106
50,,5,4,0.9675,0.88,2025-01-05 11:36:33,2025-01-05 11:40:03,209.59531021118164
50,,2,2,0.990625,0.8875,2025-01-05 11:36:26,2025-01-05 11:40:12,225.94365811347961
50,,5,2,0.99,0.8875,2025-01-05 11:36:30,2025-01-05 11:40:15,225.232191324234
50,,5,1,0.99875,0.8825,2025-01-05 11:36:28,2025-01-05 11:40:18,229.6120147705078
50,,2,1,1.0,0.8825,2025-01-05 11:36:25,2025-01-05 11:40:19,234.06726241111755
50,,10,1,0.995,0.8775,2025-01-05 11:36:36,2025-01-05 11:40:21,224.99355673789978
50,,10,2,0.985625,0.885,2025-01-05 11:37:51,2025-01-05 11:41:31,219.46653413772583
50,,10,4,0.966875,0.88,2025-01-05 11:38:25,2025-01-05 11:41:35,189.9379642009735
