n_estimators,learning_rate,max_depth,lambda_l1,lambda_l2,train_acc,val_acc,start_time,end_time,training_time
10,0.05,7,0.01,0.0,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:49,55.37771964073181
10,0.05,7,0.01,0.01,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:49,55.71759653091431
10,0.05,7,0.001,0.001,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:49,56.182899713516235
10,0.05,7,0.001,0.01,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:50,56.561641693115234
10,0.05,7,0.0,0.01,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:50,56.647085189819336
10,0.05,7,0.01,0.001,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:50,56.70419931411743
10,0.05,7,0.0,0.001,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:50,56.827717304229736
10,0.05,7,0.001,0.0,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:50,56.99593544006348
10,0.05,7,0.0,0.0,0.26,0.285,2025-01-05 13:36:53,2025-01-05 13:37:50,56.99093723297119
10,0.05,9,0.0,0.01,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:55,61.438857316970825
10,0.05,9,0.001,0.01,0.255,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:55,61.8100368976593
10,0.05,9,0.001,0.0,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:56,62.322375774383545
10,0.05,9,0.01,0.01,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:56,62.52588772773743
10,0.05,9,0.01,0.0,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:56,62.51135206222534
10,0.05,9,0.001,0.001,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:56,62.6319694519043
10,0.05,9,0.01,0.001,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:56,63.09025859832764
10,0.05,9,0.0,0.0,0.255,0.2675,2025-01-05 13:36:53,2025-01-05 13:37:56,63.179951667785645
10,0.05,9,0.0,0.001,0.254375,0.2725,2025-01-05 13:36:53,2025-01-05 13:37:57,63.46390771865845
10,0.1,7,0.0,0.001,0.495,0.4775,2025-01-05 13:37:49,2025-01-05 13:38:47,57.969467639923096
10,0.1,7,0.0,0.01,0.494375,0.475,2025-01-05 13:37:49,2025-01-05 13:38:47,57.6387083530426
10,0.1,7,0.0,0.0,0.495,0.48,2025-01-05 13:37:49,2025-01-05 13:38:47,58.74740123748779
10,0.1,7,0.001,0.001,0.495,0.4775,2025-01-05 13:37:50,2025-01-05 13:38:48,57.80017971992493
10,0.1,7,0.001,0.0,0.495,0.4775,2025-01-05 13:37:50,2025-01-05 13:38:48,58.113739013671875
10,0.1,7,0.01,0.0,0.495,0.4775,2025-01-05 13:37:50,2025-01-05 13:38:48,57.910162925720215
10,0.1,7,0.001,0.01,0.494375,0.475,2025-01-05 13:37:50,2025-01-05 13:38:48,58.211188554763794
10,0.1,7,0.01,0.01,0.49375,0.4725,2025-01-05 13:37:50,2025-01-05 13:38:48,58.151442527770996
10,0.1,7,0.01,0.001,0.495,0.475,2025-01-05 13:37:50,2025-01-05 13:38:49,58.73809266090393
10,0.1,9,0.001,0.001,0.5,0.4625,2025-01-05 13:37:56,2025-01-05 13:38:59,62.86541390419006
10,0.1,9,0.0,0.001,0.5,0.4625,2025-01-05 13:37:55,2025-01-05 13:38:59,63.61335015296936
10,0.1,9,0.0,0.0,0.5,0.4625,2025-01-05 13:37:55,2025-01-05 13:38:59,64.22687125205994
10,0.1,9,0.001,0.0,0.5,0.4625,2025-01-05 13:37:56,2025-01-05 13:39:00,63.65222239494324
10,0.1,9,0.0,0.01,0.499375,0.4625,2025-01-05 13:37:56,2025-01-05 13:39:00,64.14460325241089
10,0.1,9,0.001,0.01,0.499375,0.4625,2025-01-05 13:37:56,2025-01-05 13:39:00,64.0365993976593
10,0.1,9,0.01,0.01,0.499375,0.4625,2025-01-05 13:37:57,2025-01-05 13:39:01,63.81811308860779
10,0.1,9,0.01,0.0,0.499375,0.4625,2025-01-05 13:37:56,2025-01-05 13:39:01,64.23322606086731
10,0.1,9,0.01,0.001,0.499375,0.4625,2025-01-05 13:37:56,2025-01-05 13:39:01,64.61095380783081
20,0.05,7,0.0,0.0,0.495,0.4725,2025-01-05 13:38:47,2025-01-05 13:40:45,117.63559889793396
20,0.05,7,0.0,0.01,0.495,0.47,2025-01-05 13:38:47,2025-01-05 13:40:45,117.93735980987549
20,0.05,7,0.0,0.001,0.495,0.4725,2025-01-05 13:38:47,2025-01-05 13:40:46,118.49235272407532
20,0.05,7,0.01,0.001,0.495,0.4725,2025-01-05 13:38:48,2025-01-05 13:40:47,118.20581531524658
20,0.05,7,0.001,0.01,0.495,0.47,2025-01-05 13:38:48,2025-01-05 13:40:47,118.81582450866699
20,0.05,7,0.01,0.0,0.495,0.4725,2025-01-05 13:38:48,2025-01-05 13:40:47,118.60107731819153
20,0.05,7,0.001,0.001,0.495,0.4725,2025-01-05 13:38:48,2025-01-05 13:40:47,118.88058662414551
20,0.05,7,0.001,0.0,0.495,0.4725,2025-01-05 13:38:48,2025-01-05 13:40:47,119.12100791931152
20,0.05,7,0.01,0.01,0.494375,0.4625,2025-01-05 13:38:49,2025-01-05 13:40:48,118.72352766990662
20,0.05,9,0.0,0.0,0.499375,0.465,2025-01-05 13:38:59,2025-01-05 13:41:08,128.9468834400177
20,0.05,9,0.0,0.01,0.49875,0.46,2025-01-05 13:38:59,2025-01-05 13:41:09,129.64952421188354
20,0.05,9,0.0,0.001,0.499375,0.465,2025-01-05 13:38:59,2025-01-05 13:41:09,130.0202672481537
20,0.05,9,0.001,0.0,0.499375,0.465,2025-01-05 13:39:00,2025-01-05 13:41:09,129.75211143493652
20,0.05,9,0.001,0.001,0.499375,0.465,2025-01-05 13:39:00,2025-01-05 13:41:10,129.7221121788025
20,0.05,9,0.001,0.01,0.49875,0.46,2025-01-05 13:39:00,2025-01-05 13:41:10,129.92616081237793
20,0.05,9,0.01,0.001,0.49875,0.46,2025-01-05 13:39:01,2025-01-05 13:41:10,129.65538048744202
20,0.05,9,0.01,0.01,0.49875,0.46,2025-01-05 13:39:01,2025-01-05 13:41:10,129.29507422447205
20,0.05,9,0.01,0.0,0.49875,0.46,2025-01-05 13:39:01,2025-01-05 13:41:11,130.1446053981781
20,0.1,7,0.0,0.0,0.98875,0.84,2025-01-05 13:40:45,2025-01-05 13:42:46,121.68511033058167
20,0.1,7,0.0,0.001,0.98875,0.84,2025-01-05 13:40:45,2025-01-05 13:42:48,122.04703783988953
20,0.1,7,0.0,0.01,0.985625,0.8425,2025-01-05 13:40:46,2025-01-05 13:42:48,122.07654309272766
20,0.1,7,0.001,0.01,0.985625,0.84,2025-01-05 13:40:47,2025-01-05 13:42:48,120.8564624786377
20,0.1,7,0.001,0.0,0.98875,0.8425,2025-01-05 13:40:47,2025-01-05 13:42:49,122.33400917053223
20,0.1,7,0.01,0.01,0.984375,0.8375,2025-01-05 13:40:48,2025-01-05 13:42:49,121.38169527053833
20,0.1,7,0.01,0.001,0.986875,0.8375,2025-01-05 13:40:47,2025-01-05 13:42:49,122.23368620872498
20,0.1,7,0.01,0.0,0.9875,0.84,2025-01-05 13:40:47,2025-01-05 13:42:50,122.57004928588867
20,0.1,7,0.001,0.001,0.98875,0.84,2025-01-05 13:40:47,2025-01-05 13:42:50,123.11079907417297
20,0.1,9,0.0,0.0,1.0,0.825,2025-01-05 13:41:08,2025-01-05 13:43:21,133.65944814682007
20,0.1,9,0.001,0.0,1.0,0.8275,2025-01-05 13:41:09,2025-01-05 13:43:22,132.54322409629822
20,0.1,9,0.0,0.001,1.0,0.8225,2025-01-05 13:41:09,2025-01-05 13:43:22,133.51589703559875
20,0.1,9,0.0,0.01,1.0,0.8275,2025-01-05 13:41:09,2025-01-05 13:43:23,133.7668650150299
20,0.1,9,0.001,0.001,1.0,0.8225,2025-01-05 13:41:10,2025-01-05 13:43:23,133.55401039123535
20,0.1,9,0.01,0.0,1.0,0.8275,2025-01-05 13:41:10,2025-01-05 13:43:24,133.3438003063202
20,0.1,9,0.01,0.01,1.0,0.8275,2025-01-05 13:41:11,2025-01-05 13:43:24,133.48724055290222
20,0.1,9,0.01,0.001,1.0,0.825,2025-01-05 13:41:11,2025-01-05 13:43:25,134.0686206817627
20,0.1,9,0.001,0.01,1.0,0.825,2025-01-05 13:41:10,2025-01-05 13:43:25,134.71863079071045
50,0.05,7,0.0,0.0,1.0,0.8525,2025-01-05 13:42:46,2025-01-05 13:47:42,295.1271288394928
50,0.05,7,0.01,0.001,0.999375,0.86,2025-01-05 13:42:50,2025-01-05 13:47:42,292.4995188713074
50,0.05,7,0.0,0.01,0.999375,0.845,2025-01-05 13:42:48,2025-01-05 13:47:42,294.43857645988464
50,0.05,7,0.0,0.001,1.0,0.845,2025-01-05 13:42:48,2025-01-05 13:47:44,296.4164848327637
50,0.05,7,0.001,0.0,1.0,0.845,2025-01-05 13:42:48,2025-01-05 13:47:45,296.7295753955841
50,0.05,7,0.01,0.01,0.99875,0.85,2025-01-05 13:42:50,2025-01-05 13:47:45,294.8478581905365
50,0.05,7,0.01,0.0,0.999375,0.845,2025-01-05 13:42:49,2025-01-05 13:47:45,296.0476145744324
50,0.05,7,0.001,0.01,0.999375,0.845,2025-01-05 13:42:49,2025-01-05 13:47:45,296.1374752521515
50,0.05,7,0.001,0.001,1.0,0.845,2025-01-05 13:42:49,2025-01-05 13:47:46,296.4995641708374
50,0.05,9,0.0,0.001,1.0,0.825,2025-01-05 13:43:22,2025-01-05 13:48:38,315.6038866043091
50,0.05,9,0.0,0.0,1.0,0.83,2025-01-05 13:43:22,2025-01-05 13:48:40,318.2078649997711
50,0.05,9,0.0,0.01,1.0,0.83,2025-01-05 13:43:22,2025-01-05 13:48:42,320.1213665008545
50,0.05,9,0.001,0.001,1.0,0.835,2025-01-05 13:43:23,2025-01-05 13:48:43,319.56342816352844
50,0.05,9,0.001,0.0,1.0,0.8275,2025-01-05 13:43:23,2025-01-05 13:48:43,320.3038010597229
50,0.05,9,0.001,0.01,1.0,0.8375,2025-01-05 13:43:24,2025-01-05 13:48:43,319.2459123134613
50,0.05,9,0.01,0.0,1.0,0.825,2025-01-05 13:43:24,2025-01-05 13:48:44,319.7350730895996
50,0.05,9,0.01,0.01,1.0,0.8325,2025-01-05 13:43:25,2025-01-05 13:48:44,319.5389156341553
50,0.05,9,0.01,0.001,1.0,0.83,2025-01-05 13:43:25,2025-01-05 13:48:45,320.63224029541016
50,0.1,7,0.0,0.0,1.0,0.855,2025-01-05 13:47:42,2025-01-05 13:52:37,295.41553926467896
50,0.1,7,0.0,0.001,1.0,0.855,2025-01-05 13:47:42,2025-01-05 13:52:37,295.1378240585327
50,0.1,7,0.0,0.01,1.0,0.86,2025-01-05 13:47:42,2025-01-05 13:52:39,296.1045639514923
50,0.1,7,0.01,0.01,1.0,0.8625,2025-01-05 13:47:46,2025-01-05 13:52:39,293.41909408569336
50,0.1,7,0.001,0.0,1.0,0.855,2025-01-05 13:47:44,2025-01-05 13:52:40,295.91845440864563
50,0.1,7,0.001,0.001,1.0,0.8575,2025-01-05 13:47:45,2025-01-05 13:52:40,295.59928703308105
50,0.1,7,0.01,0.0,1.0,0.8575,2025-01-05 13:47:46,2025-01-05 13:52:41,295.8422152996063
50,0.1,7,0.01,0.001,1.0,0.8575,2025-01-05 13:47:46,2025-01-05 13:52:42,296.2418303489685
50,0.1,7,0.001,0.01,1.0,0.86,2025-01-05 13:47:45,2025-01-05 13:52:43,297.7339038848877
50,0.1,9,0.0,0.001,1.0,0.82,2025-01-05 13:48:40,2025-01-05 13:53:42,301.61505126953125
50,0.1,9,0.0,0.0,1.0,0.8225,2025-01-05 13:48:38,2025-01-05 13:53:42,303.8194351196289
50,0.1,9,0.001,0.0,1.0,0.825,2025-01-05 13:48:43,2025-01-05 13:53:45,302.32326555252075
50,0.1,9,0.001,0.001,1.0,0.8225,2025-01-05 13:48:43,2025-01-05 13:53:46,302.66980385780334
50,0.1,9,0.001,0.01,1.0,0.82,2025-01-05 13:48:43,2025-01-05 13:53:46,302.72587394714355
50,0.1,9,0.0,0.01,1.0,0.8225,2025-01-05 13:48:43,2025-01-05 13:53:46,303.4232106208801
50,0.1,9,0.01,0.001,1.0,0.8225,2025-01-05 13:48:45,2025-01-05 13:53:47,302.11444640159607
50,0.1,9,0.01,0.01,1.0,0.8225,2025-01-05 13:48:45,2025-01-05 13:53:47,301.48438692092896
50,0.1,9,0.01,0.0,1.0,0.8225,2025-01-05 13:48:44,2025-01-05 13:53:47,302.651935338974
